Date,Low,High,Open,Close,Volume
2016-06-09,574,583.48,583.19,577.46,4979.63044035
2016-06-08,572.96,583.99,579.72,583.21,5661.74917272
2016-06-07,497.01,590.95,586.75,579.71,9601.78409699
2016-06-06,575,588.15,575.17,586.77,6791.26453533
2016-06-05,570.22,585,576.31,575.17,4984.2494482
2016-06-04,564.29,594.64,571.09,576.31,6932.07537817
2016-06-03,535.96,578,538.06,571.25,10203.7254522
2016-06-02,531.86,541.2,534.85,537.87,6320.94864006
2016-06-01,524.39,541.5,531.25,534.84,5736.65283224
2016-05-31,520.01,544.9,532.56,531.34,8491.97268136
2016-05-30,519,541,525.22,532.55,5960.33332201
2016-05-29,492.91,549.99,523.35,525.22,9853.03646368
2016-05-28,470.13,539.49,471.21,523.25,12074.5624969
2016-05-27,454.35,476.75,454.97,471.27,9888.02648828
2016-05-26,449,454.99,451.45,454.97,5843.88197402
2016-05-25,446.86,452.42,446.98,451.49,6167.95576946
2016-05-24,440.5,448.5,445.56,446.99,6515.69511815
2016-05-23,440.79,446.3,442.45,445.67,5659.12007339
2016-05-22,440.89,446.45,446.27,442.48,3779.58274056
2016-05-21,441.88,446.99,445.52,446.28,3945.71821234
2016-05-20,435.5,445.85,437.91,445.65,7178.735362
2016-05-19,435,456.41,455.56,438.38,8412.58613924
2016-05-18,453.6,457.88,454.19,455.56,5512.42378222
2016-05-17,452.2,457.49,455.64,454.19,6033.90842585
2016-05-16,451.48,461.59,461.48,455.66,6019.17236655
2016-05-15,458.49,463.62,458.9,461.47,3269.98252507
2016-05-14,456,459.83,457.97,458.9,3295.1997074
2016-05-13,453.84,458.03,456.48,457.98,5404.20702972
2016-05-12,449.27,456.57,454.56,456.48,6119.04462476
2016-05-11,452.5,458.65,452.77,454.37,5746.40549365
2016-05-10,448.2,465,464.15,452.78,6814.25705519
2016-05-09,459.41,465.9,462.6,464.16,5882.94056987
2016-05-08,457.5,465,461.91,462.79,3275.57794242
2016-05-07,459.55,464,462.31,461.91,3463.8802064
2016-05-06,448.84,463.73,449.99,462.31,6193.77720515
2016-05-05,447,451.56,448.59,449.98,5336.21991152
2016-05-04,446.76,453.23,452.21,448.68,4883.54001476
2016-05-03,443.61,453.29,446.53,452.21,5892.48138372
2016-05-02,440.02,457.63,456.98,446.42,7694.20823194
2016-05-01,451.55,457.07,454.02,456.98,2941.67587876
2016-04-30,450.13,459.33,458.8,454.02,4710.2895045
2016-04-29,448.5,459.44,451.67,458.82,5965.09735013
2016-04-28,434.79,451.88,445.3,451.68,7644.69210461
2016-04-27,440.94,470.79,470.3,445.31,11267.582657
2016-04-26,464.01,472.11,466.17,470.59,7471.24056177
2016-04-25,454.65,472.38,464.47,466.17,9493.32784683
2016-04-24,454.55,465,455.68,464.46,6188.49079492
2016-04-23,447.03,455.84,448.57,455.69,4618.30821378
2016-04-22,445.07,452.95,452.25,448.41,6814.7817311
2016-04-21,441.99,453.8,442.87,452.25,7693.43100861
2016-04-20,436.17,444.07,437.06,442.96,7150.95669528
2016-04-19,429.22,438.2,430.9,437.06,6226.60528301
2016-04-18,428.44,434.46,431.08,430.97,5277.32120606
2016-04-17,429.15,434.93,433.69,431,3299.73395797
2016-04-16,429.89,434.89,430.82,433.39,4133.98598682
2016-04-15,425.72,431.1,426.35,430.93,4184.00939072
2016-04-14,424.52,428,425.58,426.32,4732.22672175
2016-04-13,423.59,429.44,427.8,425.58,5885.07514476
2016-04-12,423.14,429.77,423.95,427.8,6997.06357807
2016-04-11,420.15,424,423.29,423.94,5093.21825161
2016-04-10,419.46,423.99,419.46,423.4,2990.03664436
2016-04-09,415.51,419.79,419.48,419.46,3519.98911149
2016-04-08,415.71,424.65,421.99,419.48,6437.97595515
2016-04-07,419.41,422.74,421.36,421.99,5017.46236662
2016-04-06,420.61,423,422.4,421.46,5211.96140153
2016-04-05,418.01,423.43,419.48,422.36,5727.68629636
2016-04-04,417.58,421,420.08,419.47,5319.07031462
2016-04-03,418.33,420.8,419.95,420.16,3266.97381272
2016-04-02,417.04,420.5,417.68,419.95,3952.0183139
2016-04-01,414.12,417.68,416.03,417.68,5353.92318385
2016-03-31,412.74,417.6,412.97,416.03,5235.54278385
2016-03-30,407.56,416.41,416.4,412.79,5831.49360379
2016-03-29,407.75,424.62,422.92,416.39,7361.85527519
2016-03-28,419.63,425.36,425.29,423,5717.86007067
2016-03-27,416.35,426.5,416.96,425.3,4658.09803054
2016-03-26,414.37,417.77,416.42,416.97,3641.00285678
2016-03-25,411,416.87,412.86,416.41,4598.6610383
2016-03-24,410,417.72,417.53,412.95,5064.58936525
2016-03-23,413.95,418.99,416.66,417.53,5506.91945281
2016-03-22,411,417.79,411.98,416.66,6124.69185606
2016-03-21,406.89,412.13,411.25,412,6008.84633714
2016-03-20,409.36,415.34,410.09,411.27,4726.10717472
2016-03-19,404.72,411,409.66,410.2,4840.13357914
2016-03-18,399.21,418.66,418.42,409.65,8597.5867638
2016-03-17,415.7,419.75,416.06,418.41,6108.4432848
2016-03-16,413,416.39,415.41,416.07,6273.4577209
2016-03-15,412.48,416.94,415.02,415.41,7352.70791993
2016-03-14,411.61,415.84,412.51,415.02,6672.7126524
2016-03-13,410.01,416.38,410.56,412.52,4663.32879725
2016-03-12,406.52,421.3,419.48,410.58,6897.105099
2016-03-11,414.97,421,415.98,419.39,7041.45814304
2016-03-10,410.71,416.52,412.64,415.98,7909.17586749
2016-03-09,408.75,414,411.18,412.8,5399.36136204
2016-03-08,407.4,416.33,412.21,411.18,7501.47649557
2016-03-07,395,418.74,403.24,412.21,9910.74424239
2016-03-06,385.01,409.27,396.13,403.24,7676.29322299
2016-03-05,381.09,408.83,407.38,396.08,14903.3377846
2016-03-04,405.5,422.21,418.76,407.35,8961.10957184
2016-03-03,408.63,422.8,420.44,418.8,11833.7208709
2016-03-02,418.36,435.36,433.03,420.39,7437.60843525
2016-03-01,427.5,437.78,436.41,433.08,7580.23306278
2016-02-29,431.13,442,433.73,436.44,7578.8900694
2016-02-28,423,436.07,433.09,433.73,5149.93009024
2016-02-27,430.14,434.97,430.84,433.12,5515.55574894
2016-02-26,419.53,430.85,423.51,430.85,6737.66241586
2016-02-25,418.6,426.44,423.87,423.54,6049.81811526
2016-02-24,410,425.6,420.32,423.94,7228.09158586
2016-02-23,414.16,440.9,437.45,419.97,9159.03224463
2016-02-22,430.95,439,438.56,437.55,5131.79988328
2016-02-21,426.01,448.7,438.04,438.56,7111.14458641
2016-02-20,420.09,444.03,420.72,437.46,9368.59512888
2016-02-19,416,422,421.18,420.72,5800.21753183
2016-02-18,415.01,423.2,415.18,421.19,6518.6376118
2016-02-17,405.69,420.13,407.41,415.2,8707.1340027
2016-02-16,390.2,407.5,398.94,407.42,5542.28094789
2016-02-15,394.03,409.09,406.62,398.95,6568.48538284
2016-02-14,391,406.92,391,406.59,7557.25485027
2016-02-13,381.99,395.59,382.05,391,5968.28439745
2016-02-12,377.46,382.05,378.23,382.05,6162.21762337
2016-02-11,361.1,379.5,378.49,378.23,10340.4169888
2016-02-10,371.87,383.34,372.76,378.44,9736.03682475
2016-02-09,370.13,374.93,371.02,372.68,8391.4381753
2016-02-08,370.5,379.35,377.47,371.14,7094.20857777
2016-02-07,373.24,379.81,375.44,377.49,4164.50911131
2016-02-06,370.05,384.54,384.44,375.44,6276.66473729
2016-02-05,382.99,389.36,387.99,384.5,7443.92933224
2016-02-04,368.74,390.63,368.87,387.99,8887.7572324
2016-02-03,365.63,373.01,372.93,368.87,7147.95657328
2016-02-02,371.17,374.41,371.33,372.93,6856.21815799
2016-02-01,366.26,379,367.89,371.33,7931.22922922
2016-01-31,365,382.5,378.46,367.95,5506.77681302
2016-01-30,375,382.04,378.68,378.46,4154.2964224
2016-01-29,363.25,385.05,379.63,378.68,12105.3104369
2016-01-28,377.12,395,394.6,379.61,9072.85204677
2016-01-27,390.7,397.18,391.7,394.79,6324.16419027
2016-01-26,387.78,397,391.4,391.54,6981.00990035
2016-01-25,386.41,403.04,403.04,391.4,6491.99981186
2016-01-24,387.49,406.93,387.5,403.05,3550.83177183
2016-01-23,382.55,398.72,382.93,387.5,6310.0300222
2016-01-22,373.86,413.99,409.02,382.9,13430.1030392
2016-01-21,403.21,424.78,418.89,409.38,8739.16341887
2016-01-20,369,425.1,375.28,418.54,13872.8390863
2016-01-19,370,385.5,384.79,375.27,8133.36701034
2016-01-18,370.1,386.1,378.47,384.89,8711.45975604
2016-01-17,372,391,388.7,378.46,8278.40179348
2016-01-16,350.92,391,357.59,388.7,17985.2387845
2016-01-15,357.3,430.29,430.04,357.53,28641.6735855
2016-01-14,428,435.27,432.7,430.03,5673.63296245
2016-01-13,425,437.5,434.01,432.77,9009.15070912
2016-01-12,431.83,449.44,449.26,434.01,6596.94545292
2016-01-11,445.88,452.65,449.99,449.19,5597.63718315
2016-01-10,442.96,451.39,450.39,449.99,3954.32239952
2016-01-09,447.66,456,454.41,450.38,4247.63965095
2016-01-08,447.53,464.4,459.07,454.44,8347.0950396
2016-01-07,430.64,460.15,430.66,459.07,13907.201729
2016-01-06,428.15,433.46,433.32,430.87,5476.95995944
2016-01-05,430,435.64,433.84,433.34,5150.10947569
2016-01-04,431.37,435.79,431.9,433.85,5894.44572317
2016-01-03,425.02,435.75,435.4,431.91,3904.33531811
2016-01-02,432.41,437.56,435.67,435.4,3276.70962113
2016-01-01,427.92,437.15,430.35,435.66,3863.27745054
